Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,53.7,146,Unhealthy for Sensitive Groups,69.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,42.3,118,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,32.1,93,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,20.0,68,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,15.0,57,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,11.5,48,Good,8.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,10.2,43,Good,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,10.6,44,Good,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,10.3,43,Good,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,10.1,42,Good,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,8.0,33,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,7.0,29,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,6.5,27,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,6.2,26,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,6.6,28,Good,7.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,6.3,26,Good,6.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,8.4,35,Good,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,12.8,52,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,16.9,61,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,16.9,61,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,18.9,65,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,16.9,61,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,15.4,58,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,13.2,53,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,13.1,53,Moderate,13.0,UG/M3,1 Hr,Valid
